Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,016E+11;3;39;;;2;0;;;0;1;3;0;0;1;0;1;0
2,016E+11;3;39;;;1;0;;;0;1;2;0;58;1;0;1;0
2,016E+11;3;1;;;2;2;;;0;1;3;0;68;2;0;3;99
2,016E+11;4;0;;;2;0;;;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;0;0;;;0;0;1;0;0;1;0;1;3
2,016E+11;3;41;;;2;0;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;1;;;2;0;;;0;1;1;70;0;1;0;1;99
2,016E+11;3;2;;D;2;2;;;0;1;1;0;70;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;1;0;0;0;1;0;1;99
2,016E+11;4;0;;A;2;0;;;0;0;1;0;44;7;0;1;0
2,016E+11;3;549;;;2;2;;;0;1;1;0;90;2;0;1;99
2,016E+11;3;1;;;2;2;;;0;0;1;0;0;1;0;0;0
2,016E+11;3;917;;;2;0;;;0;0;0;0;0;0;0;0;0
2,016E+11;3;917;;;2;2;;;0;0;4;0;0;1;0;1;99
2,016E+11;3;549;;;1;1;;;0;1;0;0;93;1;5;1;99
2,016E+11;4;0;;;2;2;;;0;1;2;0;0;1;0;1;0
2,016E+11;3;917;;;2;0;;;0;1;2;120;120;6;0;1;0
2,016E+11;3;917;;;2;0;;;0;1;1;20;140;1;0;1;0
2,016E+11;3;8;;D;3;2;;;0;1;1;0;124;1;5;1;99
2,016E+11;3;354;;;3;2;;;0;1;0;46;115;2;5;1;0
2,016E+11;3;954;;;2;2;;;0;1;1;0;0;1;0;1;0
2,016E+11;3;226;;;2;2;3;100;0;2;1;0;73;1;0;0;0
2,016E+11;3;1;;;2;2;3;500;0;1;2;60;0;2;0;3;99
2,016E+11;3;11;;;2;0;6;400;0;1;3;0;90;1;0;3;99
2,016E+11;4;7;;;2;2;;;0;1;4;0;33;7;0;0;0
2,016E+11;4;0;;;2;2;;;0;0;1;0;50;1;6;1;3
2,016E+11;9;0;;;2;0;;;0;1;1;0;80;1;0;1;3
2,016E+11;3;131;;;2;2;4;700;0;1;1;0;65;1;0;1;99
2,016E+11;3;3;;;2;2;3;500;0;1;1;60;60;1;0;1;0
2,016E+11;3;2;;;2;0;;;0;1;1;0;60;1;0;4;0
2,016E+11;3;916;;;2;2;24;0;0;1;1;0;65;1;0;1;99
2,016E+11;3;52;;;2;0;;;0;1;1;0;60;1;0;1;99
2,016E+11;3;161;;;2;1;;;0;0;1;0;61;2;0;1;99
2,016E+11;3;916;;;2;0;4;800;0;1;1;0;64;1;0;1;99
2,016E+11;3;916;;;2;2;9;500;2;1;1;0;75;2;0;1;99
2,016E+11;3;55;;;2;0;;;0;2;1;0;55;2;0;1;99
2,016E+11;3;642;;;2;2;;;0;1;3;80;0;1;0;1;99
2,016E+11;3;943;2;;2;2;;;0;1;1;0;74;1;0;1;0
2,016E+11;3;943;2;D;2;2;6;800;0;2;1;0;65;1;5;4;99
2,016E+11;3;642;;;2;2;;;0;1;2;0;60;1;0;4;0
2,016E+11;3;642;;;2;0;0;100;0;1;1;0;71;1;0;1;0
2,016E+11;3;933;;;2;2;49;1237;0;1;1;0;0;1;0;1;0
2,016E+11;3;255;;;2;0;;;0;1;3;0;60;1;0;4;0
2,016E+11;3;106;;;2;0;;;0;1;1;55;0;2;0;3;99
2,016E+11;3;406;;;2;0;;;0;1;1;0;60;2;0;1;99
2,016E+11;3;55;;;2;2;;;0;0;2;0;35;1;0;0;0
2,016E+11;3;18;;;2;2;25;0;0;0;1;0;59;1;0;1;99
2,016E+11;3;642;;;2;2;1;500;0;0;3;0;75;1;0;1;0
2,016E+11;3;933;;;2;2;;;0;1;3;0;81;1;0;1;99
2,016E+11;3;223;;;2;2;;;0;2;1;0;0;1;1;1;99
2,016E+11;3;122;;;2;2;28;300;0;1;1;68;0;1;0;1;99
2,016E+11;3;945;;;2;2;;;0;1;1;0;65;2;0;1;3
2,016E+11;3;122;;;2;2;23;200;0;1;3;0;62;2;0;3;99
2,016E+11;3;38;;;2;0;;;0;0;3;0;66;1;0;1;0
2,016E+11;3;18;;;2;1;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;277;;;2;2;;;0;1;1;0;62;1;0;1;0
2,016E+11;3;38;;;2;0;7;600;0;1;1;0;58;2;0;1;99
2,016E+11;3;53;;;2;2;16;600;0;1;3;0;63;1;0;3;99
2,016E+11;3;946;;;2;0;;;0;1;3;0;0;2;0;3;99
2,016E+11;3;122;;;2;0;;;0;0;1;0;0;1;0;1;0
2,016E+11;3;946;;;2;0;;;0;1;1;62;0;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;1;1;60;0;1;0;1;99
2,016E+11;3;18;;;2;2;7;280;0;1;1;0;60;1;0;1;0
2,016E+11;3;138;;;2;2;9;0;0;1;4;0;50;2;0;3;99
2,016E+11;3;11;;;2;0;;;0;2;1;0;60;2;0;3;99
2,016E+11;3;916;;;2;0;20;850;0;1;1;0;69;1;0;1;99
2,016E+11;3;916;;;2;2;;;0;2;1;0;70;1;0;1;99
2,016E+11;3;17;;;2;2;;;0;1;0;0;0;1;0;0;0
2,016E+11;4;0;;;2;0;;;0;1;1;0;49;1;0;1;99
2,016E+11;3;916;;;1;0;18;285;0;1;2;0;0;1;0;1;99
2,016E+11;4;0;;;2;0;;;0;0;1;0;0;1;0;1;3
2,016E+11;3;37;;;2;0;20;560;0;1;1;0;65;1;0;1;99
2,016E+11;3;90;;;2;2;6;348;0;1;1;;;1;5;0;99
2,016E+11;3;941;;;2;2;;;1;1;1;0;90;1;0;3;99
2,016E+11;3;941;;;2;0;;;1;1;1;200;200;1;0;1;0
2,016E+11;3;955;;;2;2;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;955;;;2;2;;;1;1;1;0;70;1;0;1;99
2,016E+11;3;938;;;2;0;;;2;1;1;0;0;1;0;1;99
2,016E+11;3;655;;;0;0;;;0;0;3;0;38;2;3;1;0
2,016E+11;3;945;;;2;2;21;5;0;1;0;96;0;2;0;1;99
2,016E+11;3;945;;;2;2;27;100;2;1;1;0;81;1;0;1;99
2,016E+11;3;949;;;2;2;12;0;0;1;1;0;68;1;0;1;0
2,016E+11;3;108;;;2;2;4;900;0;1;1;0;63;1;4;0;99
2,016E+11;3;945;;;2;2;20;350;2;1;1;0;97;1;0;1;0
2,016E+11;3;257;;;2;2;;;0;1;3;0;0;1;0;3;0
2,016E+11;3;108;;;0;2;6;740;1;0;1;0;67;1;0;3;99
2,016E+11;3;108;;;2;2;;;0;1;1;;;2;5;0;99
2,016E+11;3;57;;;2;2;;;0;1;1;0;58;1;5;1;99
2,016E+11;3;57;;;2;2;0;950;0;1;1;0;69;1;0;1;99
2,016E+11;3;108;;;2;0;3;400;1;0;1;0;60;2;5;3;99
2,016E+11;3;649;;;1;2;;;0;1;1;26;73;0;0;1;0
2,016E+11;3;350;;;2;2;;;0;1;1;0;64;1;0;3;0
2,016E+11;3;958;;;2;0;;;0;1;1;0;0;1;0;1;0
2,016E+11;3;73;;;2;2;;;0;2;1;0;80;1;0;1;0
2,016E+11;3;630;;;2;0;;;0;1;1;0;73;2;0;1;99
2,016E+11;3;74;;D;2;2;1;900;0;1;4;0;57;1;0;3;99
2,016E+11;3;68;;;2;2;;;0;0;0;0;0;1;0;1;0
2,016E+11;3;102;;;2;1;;;0;1;1;0;37;1;0;1;99
2,016E+11;3;962;;;2;2;4;900;0;2;1;0;70;1;0;4;0
2,016E+11;4;0;;;1;0;;;0;1;1;0;25;1;0;1;0
2,016E+11;2;2;;;2;2;7;700;0;3;1;0;90;1;0;1;0
2,016E+11;3;951;;;2;2;;;0;1;2;0;0;1;0;1;99
2,016E+11;3;33;;;2;0;;;0;0;2;0;0;0;0;0;0
2,016E+11;3;133;;;2;0;;;0;0;1;0;0;1;0;1;0
2,016E+11;3;961;;;2;0;;;0;0;1;0;0;2;0;1;0
2,016E+11;3;963;;;2;2;;;0;1;1;0;64;1;0;1;0
2,016E+11;3;1;;;2;2;;;0;1;1;0;69;1;0;4;3
2,016E+11;3;156;;;2;2;;;0;1;1;0;53;1;0;1;99
2,016E+11;3;20;;;3;4;;;0;1;1;89;290;1;0;1;3
2,016E+11;4;0;;;2;2;;;0;1;1;0;35;1;0;3;99
2,016E+11;3;20;;;2;2;;;0;1;3;0;72;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;1;3;0;35;2;0;3;99
2,016E+11;4;69;2;;2;0;;;0;1;1;0;50;2;0;3;99
2,016E+11;4;0;;;2;0;;;0;1;1;0;60;1;0;1;99
2,016E+11;3;963;;;2;0;;;0;1;2;0;50;2;0;0;99
2,016E+11;3;220;;;0;0;;;0;1;1;0;50;1;0;0;0
2,016E+11;4;0;;;2;2;;;0;2;1;0;72;2;0;4;99
2,016E+11;3;86;;;2;0;;;0;1;2;0;55;1;0;0;0
2,016E+11;3;934;;;2;2;12;170;0;2;3;0;70;2;0;1;99
2,016E+11;3;2;;;2;0;;;0;1;1;0;55;2;0;1;0
2,016E+11;3;951;;;2;1;8;800;0;0;2;0;56;1;0;3;0
2,016E+11;3;934;;;2;2;17;600;0;4;1;0;0;2;0;1;99
2,016E+11;3;934;;;2;0;;;0;0;1;80;0;1;0;4;0
2,016E+11;4;0;;;0;0;;;0;0;0;0;0;0;0;1;0
2,016E+11;3;119;;;2;2;;;0;0;1;80;0;7;0;1;99
2,016E+11;3;42;;;2;0;;;0;2;3;0;67;9;0;1;99
2,016E+11;3;71;;;2;2;;;0;1;1;0;62;1;0;1;0
2,016E+11;3;157;;;2;0;;;0;1;1;0;0;1;0;1;0
2,016E+11;3;934;;;2;0;2;400;0;1;3;25;69;2;5;1;99
2,016E+11;3;643;;;2;0;;;0;1;1;0;0;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;3;1;60;0;1;0;1;99
2,016E+11;3;160;;;2;0;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;16;;A;2;0;1;50;0;1;1;0;0;2;0;1;99
2,016E+11;3;643;;;2;2;;;0;1;1;32;75;1;0;4;99
2,016E+11;4;0;;;3;0;;;0;1;1;0;0;1;0;1;0
2,016E+11;4;0;;;1;1;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;113;;;2;2;;;0;1;0;0;0;1;0;3;0
2,016E+11;3;2;;;2;2;;;0;1;1;0;70;1;0;1;99
2,016E+11;3;15;;;2;2;;;0;2;4;0;64;2;0;1;99
2,016E+11;3;15;;;2;2;24;700;0;2;3;0;60;1;0;1;99
2,016E+11;3;630;;;2;0;19;568;1;1;1;0;62;1;0;5;99
2,016E+11;3;402;;;3;2;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;942;;;2;0;4;350;0;1;1;0;62;1;0;3;99
2,016E+11;3;643;;;1;1;;;0;2;2;0;0;1;0;3;99
2,016E+11;3;15;;;2;0;7;750;0;1;1;0;0;1;0;1;0
2,016E+11;3;630;;;2;0;23;900;0;2;1;0;60;1;0;1;0
2,016E+11;3;630;;;2;2;0;600;0;1;1;0;70;2;0;1;0
2,016E+11;4;0;;;2;0;;;0;0;1;0;0;1;0;1;99
2,016E+11;3;958;;;2;2;;;0;1;1;0;74;1;0;1;0
2,016E+11;3;958;;;2;2;;;0;1;0;0;0;0;5;4;0
2,016E+11;3;49;;;2;2;;;0;0;1;0;58;1;0;1;99
2,016E+11;3;955;;;2;2;;;0;1;1;0;0;1;0;1;0
2,016E+11;3;958;;;2;0;5;500;0;1;1;0;69;1;0;3;0
2,016E+11;3;148;;;2;2;;;0;1;1;0;0;1;0;1;3
2,016E+11;3;148;;;2;0;;;0;1;2;60;0;1;0;4;0
2,016E+11;3;47;;;2;0;;;0;2;1;0;65;1;0;1;3
2,016E+11;4;0;;;2;0;;;0;1;1;0;55;2;0;1;3
2,016E+11;3;643;;;3;2;;;0;1;1;0;0;2;5;1;99
2,016E+11;3;47;;;2;2;;;0;1;1;0;0;1;5;1;3
2,016E+11;3;938;;;2;0;;;0;1;1;70;0;1;0;1;99
2,016E+11;3;1;;;0;1;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;954;;;2;0;;;0;1;1;50;55;1;0;1;3
2,016E+11;3;938;;;2;0;;;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;0;2;;;0;0;1;0;55;1;0;1;99
2,016E+11;3;938;;;2;2;;;0;0;1;0;0;0;0;1;99
2,016E+11;3;549;;;2;2;;;0;1;1;0;66;1;0;1;99
2,016E+11;3;938;;;2;0;;;2;1;1;0;0;3;0;5;0
2,016E+11;3;953;;;2;0;;;0;1;1;0;61;1;0;1;99
2,016E+11;3;942;;;2;2;;;0;2;1;0;0;1;0;1;0
2,016E+11;3;961;;;2;2;;;0;2;1;0;75;2;0;1;0
2,016E+11;3;117;;;2;0;;;0;0;0;0;0;1;0;1;0
2,016E+11;2;2;;;2;2;;;0;1;1;36;32;1;0;1;0
