Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,016E+11;0;7;0;0;0;1;1;B02
2,016E+11;0;2;0;0;0;7;15;A01
2,016E+11;0;7;0;6;0;1;1;A01
2,016E+11;0;7;0;0;1;6;1;A01
2,016E+11;0;32;0;0;0;1;1;B02
2,016E+11;0;7;0;0;0;8;15;A01
2,016E+11;0;30;0;0;2;1;15;B02
2,016E+11;0;7;0;0;2;3;1;A01
2,016E+11;0;7;0;0;1;1;1;A01
2,016E+11;1;30;0;0;0;3;15;A01
2,016E+11;1;7;0;0;2;2;17;B02
2,016E+11;0;7;0;0;2;2;1;B02
2,016E+11;0;7;0;0;2;3;13;A01
2,016E+11;0;7;0;0;0;3;1;A01
2,016E+11;0;30;0;0;0;2;1;B02
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;0;7;0;0;1;1;1;A01
2,016E+11;0;33;0;0;0;0;1;A01
2,016E+11;0;7;0;0;1;2;1;A01
2,016E+11;0;33;0;0;2;1;13;A01
2,016E+11;0;33;0;14;0;9;21;B02
2,016E+11;0;7;0;0;2;3;1;C03
2,016E+11;0;1;0;0;2;1;0;B02
2,016E+11;0;1;0;0;2;1;0;C03
2,016E+11;0;7;0;0;2;3;16;A01
2,016E+11;0;7;0;0;2;5;10;C03
2,016E+11;0;7;0;0;2;2;10;B02
2,016E+11;0;33;0;0;2;2;1;A01
2,016E+11;0;7;0;2;0;8;1;A01
2,016E+11;1;7;0;0;2;1;0;A01
2,016E+11;2;7;0;0;2;3;16;B02
2,016E+11;0;33;0;0;2;8;23;C03
2,016E+11;0;7;0;0;2;1;1;B02
2,016E+11;0;7;0;16;2;3;15;A01
2,016E+11;2;7;0;0;2;8;5;A01
2,016E+11;1;7;0;0;2;3;1;B02
2,016E+11;0;30;0;0;1;1;1;A01
2,016E+11;0;10;0;0;2;1;19;B02
2,016E+11;2;7;0;0;2;8;1;A01
2,016E+11;1;7;0;13;0;1;1;A01
2,016E+11;2;7;0;13;0;1;1;A01
2,016E+11;0;7;0;13;0;1;1;A01
2,016E+11;1;7;0;0;1;1;1;A01
2,016E+11;0;7;0;0;1;1;1;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;1;7;0;0;0;8;10;A01
2,016E+11;1;7;0;6;0;1;1;A01
2,016E+11;2;7;0;0;9;1;1;B02
2,016E+11;2;7;0;0;1;2;2;A01
2,016E+11;1;17;0;0;2;3;17;A01
2,016E+11;1;21;0;0;0;4;15;B02
2,016E+11;1;7;0;0;0;4;15;B02
2,016E+11;1;33;0;0;2;1;1;A01
2,016E+11;2;7;0;0;1;3;1;A01
2,016E+11;2;17;0;0;2;3;13;A01
